,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,1
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,1
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,0
-8.1,0
-8.0,1
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,1
-7.3,1
-7.2,0
-7.1,2
-7.0,4
-6.9,0
-6.8,1
-6.7,1
-6.6,1
-6.5,2
-6.4,2
-6.3,2
-6.2,2
-6.1,2
-6.0,3
-5.9,2
-5.8,2
-5.7,2
-5.6,5
-5.5,3
-5.4,3
-5.3,5
-5.2,3
-5.1,3
-5.0,7
-4.9,4
-4.8,12
-4.7,7
-4.6,9
-4.5,9
-4.4,13
-4.3,14
-4.2,4
-4.1,10
-4.0,14
-3.9,19
-3.8,15
-3.7,13
-3.6,22
-3.5,12
-3.4,11
-3.3,21
-3.2,35
-3.1,34
-3.0,26
-2.9,33
-2.8,40
-2.7,29
-2.6,43
-2.5,56
-2.4,39
-2.3,40
-2.2,66
-2.1,59
-2.0,42
-1.9,72
-1.8,81
-1.7,63
-1.6,64
-1.5,107
-1.4,134
-1.3,65
-1.2,121
-1.1,150
-1.0,120
-0.9,85
-0.8,187
-0.7,279
-0.6,90
-0.5,143
-0.4,231
-0.3,78
-0.2,139
-0.1,194
0.0,597
0.1,95
0.2,146
0.3,248
0.4,113
0.5,151
0.6,226
0.7,174
0.8,143
0.9,193
1.0,188
1.1,122
1.2,159
1.3,219
1.4,153
1.5,170
1.6,209
1.7,184
1.8,149
1.9,224
2.0,212
2.1,122
2.2,165
2.3,200
2.4,160
2.5,172
2.6,186
2.7,192
2.8,153
2.9,173
3.0,179
3.1,148
3.2,171
3.3,191
