,0
0.0,1119
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,1
1.4,0
1.5,1
1.6,1
1.7,3
1.8,2
1.9,3
2.0,3
2.1,5
2.2,5
2.3,9
2.4,6
2.5,7
2.6,8
2.7,7
2.8,7
2.9,10
3.0,7
3.1,9
3.2,13
3.3,14
3.4,12
3.5,12
3.6,16
3.7,14
3.8,12
3.9,16
4.0,12
4.1,19
4.2,24
4.3,18
4.4,19
4.5,20
4.6,19
4.7,15
4.8,22
4.9,20
5.0,31
5.1,24
5.2,21
5.3,22
5.4,23
5.5,24
5.6,30
5.7,33
5.8,26
5.9,40
6.0,33
6.1,26
6.2,25
6.3,28
6.4,32
6.5,44
6.6,36
6.7,33
6.8,33
6.9,49
7.0,28
7.1,38
7.2,38
7.3,36
7.4,44
7.5,60
7.6,49
7.7,50
7.8,40
7.9,55
8.0,58
8.1,64
8.2,49
8.3,58
8.4,47
8.5,58
8.6,42
8.7,54
8.8,51
8.9,50
9.0,65
9.1,49
9.2,39
9.3,61
9.4,67
9.5,53
9.6,63
9.7,53
9.8,73
9.9,61
10.0,65
10.1,84
10.2,76
10.3,65
10.4,88
10.5,62
10.6,77
10.7,68
10.8,78
10.9,71
11.0,83
11.1,96
11.2,90
11.3,90
11.4,88
11.5,71
11.6,85
11.7,110
11.8,86
11.9,79
12.0,106
12.1,97
12.2,78
12.3,102
12.4,79
12.5,87
12.6,109
12.7,109
12.8,100
12.9,110
13.0,105
13.1,95
13.2,99
13.3,110
13.4,119
13.5,111
13.6,133
13.7,101
13.8,98
13.9,125
14.0,112
14.1,99
14.2,116
14.3,121
14.4,124
14.5,127
14.6,118
14.7,120
14.8,121
14.9,112
15.0,126
15.1,114
15.2,124
15.3,134
15.4,113
15.5,115
15.6,128
15.7,111
15.8,111
15.9,126
16.0,117
16.1,149
16.2,119
16.3,125
16.4,134
16.5,153
16.6,129
16.7,125
16.8,145
16.9,124
17.0,139
17.1,125
17.2,140
17.3,134
17.4,120
17.5,141
17.6,133
17.7,153
17.8,116
17.9,147
18.0,124
18.1,141
18.2,123
18.3,130
18.4,149
18.5,113
18.6,135
18.7,147
18.8,153
18.9,141
19.0,112
19.1,112
19.2,122
19.3,136
19.4,143
19.5,105
19.6,122
19.7,132
19.8,139
19.9,139
20.0,152
20.1,139
20.2,119
20.3,107
20.4,132
20.5,139
20.6,112
20.7,123
20.8,135
20.9,137
21.0,125
21.1,108
21.2,140
21.3,115
21.4,109
21.5,123
21.6,131
21.7,135
21.8,121
21.9,112
22.0,102
22.1,123
22.2,97
22.3,121
22.4,120
22.5,109
22.6,124
22.7,128
22.8,115
22.9,96
23.0,114
23.1,92
23.2,110
23.3,98
23.4,102
23.5,117
23.6,111
23.7,143
23.8,88
23.9,90
24.0,98
24.1,84
24.2,103
24.3,93
24.4,105
24.5,110
24.6,109
24.7,99
24.8,92
24.9,94
25.0,78
25.1,120
25.2,85
25.3,90
25.4,86
25.5,90
25.6,58
25.7,92
25.8,80
25.9,86
26.0,92
26.1,71
26.2,73
26.3,61
26.4,82
26.5,75
26.6,86
26.7,84
26.8,69
26.9,63
27.0,73
27.1,81
27.2,86
27.3,68
27.4,78
27.5,76
27.6,65
27.7,64
27.8,53
27.9,75
28.0,73
28.1,56
28.2,67
28.3,53
28.4,41
28.5,53
28.6,68
28.7,56
28.8,67
28.9,59
29.0,52
29.1,44
29.2,59
29.3,49
29.4,43
29.5,58
29.6,38
29.7,57
29.8,43
29.9,50
30.0,42
30.1,41
30.2,39
30.3,46
30.4,45
30.5,38
30.6,29
30.7,26
30.8,40
30.9,42
31.0,48
31.1,46
31.2,39
31.3,34
31.4,37
31.5,36
31.6,32
31.7,48
31.8,27
31.9,46
32.0,26
32.1,26
32.2,34
32.3,26
32.4,31
32.5,27
32.6,22
32.7,26
32.8,25
32.9,23
33.0,29
33.1,37
33.2,29
33.3,21
33.4,37
33.5,28
33.6,24
33.7,17
33.8,30
33.9,16
34.0,24
34.1,25
34.2,15
34.3,20
34.4,21
34.5,13
34.6,23
34.7,21
34.8,14
34.9,20
35.0,19
35.1,21
35.2,16
35.3,18
35.4,14
35.5,12
35.6,14
35.7,14
35.8,19
35.9,13
36.0,21
36.1,11
36.2,16
36.3,13
36.4,9
36.5,9
36.6,6
36.7,15
36.8,13
36.9,18
37.0,11
37.1,8
37.2,14
37.3,13
37.4,8
37.5,7
37.6,7
37.7,11
37.8,7
37.9,9
38.0,7
38.1,11
38.2,8
38.3,3
38.4,10
38.5,7
38.6,10
38.7,7
38.8,9
38.9,9
39.0,8
39.1,8
39.2,9
39.3,6
39.4,2
39.5,12
39.6,7
39.7,7
39.8,10
39.9,15
40.0,8
40.1,8
40.2,10
40.3,10
40.4,3
40.5,10
40.6,3
40.7,5
40.8,5
40.9,5
41.0,7
41.1,5
41.2,9
41.3,4
41.4,6
41.5,2
41.6,6
41.7,4
41.8,6
41.9,2
42.0,7
42.1,2
42.2,4
42.3,2
42.4,2
42.5,6
42.6,6
42.7,4
42.8,1
42.9,6
43.0,2
43.1,4
43.2,0
43.3,3
43.4,2
43.5,4
43.6,3
43.7,2
43.8,3
43.9,2
44.0,3
44.1,2
44.2,2
44.3,3
44.4,1
44.5,1
44.6,4
44.7,2
44.8,3
44.9,5
45.0,3
45.1,2
45.2,2
45.3,3
45.4,1
45.5,4
45.6,3
45.7,5
45.8,3
45.9,1
46.0,3
46.1,1
46.2,6
46.3,2
46.4,2
46.5,0
46.6,1
46.7,0
46.8,4
46.9,2
47.0,4
47.1,2
47.2,1
47.3,2
47.4,4
47.5,1
47.6,4
47.7,1
47.8,1
47.9,1
48.0,1
48.1,3
48.2,0
48.3,2
48.4,3
48.5,2
48.6,1
48.7,1
48.8,1
48.9,2
49.0,3
49.1,1
49.2,2
49.3,2
49.4,0
49.5,0
49.6,0
49.7,1
49.8,1
49.9,1
50.0,1
50.1,1
50.2,1
50.3,1
50.4,0
50.5,0
50.6,3
50.7,0
50.8,0
50.9,1
51.0,1
51.1,0
51.2,0
51.3,0
51.4,0
51.5,2
51.6,0
51.7,3
51.8,1
51.9,1
52.0,0
52.1,0
52.2,0
52.3,0
52.4,3
52.5,3
52.6,0
52.7,2
52.8,0
52.9,2
53.0,0
53.1,1
53.2,0
53.3,0
53.4,1
53.5,2
53.6,1
53.7,0
53.8,1
53.9,0
54.0,0
54.1,1
54.2,1
54.3,0
54.4,1
54.5,0
54.6,0
54.7,0
54.8,0
54.9,2
55.0,0
55.1,1
55.2,1
55.3,0
55.4,1
55.5,0
55.6,1
55.7,1
55.8,0
55.9,0
56.0,0
56.1,0
56.2,0
56.3,1
56.4,0
56.5,1
56.6,2
56.7,0
56.8,1
56.9,0
57.0,1
57.1,1
57.2,1
57.3,0
57.4,0
57.5,1
57.6,1
57.7,1
57.8,0
57.9,0
58.0,0
58.1,0
58.2,0
58.3,2
58.4,0
58.5,0
58.6,0
58.7,0
58.8,0
58.9,0
59.0,0
59.1,1
59.2,0
59.3,0
59.4,0
59.5,1
59.6,1
59.7,0
59.8,1
59.9,1
60.0,0
60.1,2
60.2,1
60.3,1
60.4,0
60.5,0
60.6,0
60.7,0
60.8,0
60.9,0
61.0,1
61.1,0
61.2,0
61.3,0
61.4,0
61.5,2
61.6,0
61.7,0
61.8,0
61.9,0
62.0,1
62.1,0
62.2,0
62.3,0
62.4,0
62.5,0
62.6,0
62.7,1
62.8,0
62.9,0
63.0,0
63.1,0
63.2,0
63.3,0
63.4,0
63.5,1
63.6,1
63.7,0
63.8,0
63.9,0
64.0,0
64.1,0
64.2,0
64.3,0
64.4,0
64.5,0
64.6,0
64.7,0
64.8,0
64.9,0
65.0,0
65.1,0
65.2,0
65.3,0
65.4,0
65.5,1
65.6,1
65.7,1
65.8,0
65.9,0
66.0,0
66.1,0
66.2,0
66.3,1
66.4,0
66.5,0
66.6,0
66.7,0
66.8,1
66.9,0
67.0,2
67.1,0
67.2,0
67.3,0
67.4,1
67.5,0
67.6,0
67.7,0
67.8,0
67.9,0
68.0,1
68.1,0
68.2,1
68.3,0
68.4,0
68.5,0
68.6,0
68.7,0
68.8,0
68.9,1
69.0,0
69.1,0
69.2,0
69.3,0
69.4,1
69.5,0
69.6,0
69.7,0
69.8,0
69.9,0
70.0,0
70.1,0
70.2,0
70.3,0
70.4,0
70.5,0
70.6,0
70.7,0
70.8,0
70.9,0
71.0,0
71.1,1
71.2,0
71.3,0
71.4,1
71.5,0
71.6,0
71.7,0
71.8,0
71.9,0
72.0,0
72.1,0
72.2,0
72.3,0
72.4,0
72.5,0
72.6,0
72.7,0
72.8,0
72.9,0
73.0,1
73.1,0
73.2,0
73.3,0
73.4,0
73.5,0
73.6,1
73.7,0
73.8,0
73.9,0
74.0,0
74.1,0
74.2,0
74.3,0
74.4,0
74.5,0
74.6,0
74.7,0
74.8,0
74.9,0
75.0,0
75.1,0
75.2,0
75.3,0
75.4,0
75.5,0
75.6,0
75.7,0
75.8,0
75.9,0
76.0,1
76.1,0
76.2,0
76.3,0
76.4,0
76.5,0
76.6,0
76.7,0
76.8,0
76.9,0
77.0,0
77.1,0
77.2,0
77.3,1
77.4,0
77.5,0
77.6,0
77.7,0
77.8,0
77.9,0
78.0,0
78.1,0
78.2,0
78.3,0
78.4,0
78.5,0
78.6,0
78.7,0
78.8,0
78.9,0
79.0,0
79.1,0
79.2,1
79.3,0
79.4,0
79.5,1
79.6,0
79.7,0
79.8,0
79.9,0
80.0,0
80.1,0
80.2,0
80.3,0
80.4,1
80.5,1
80.6,0
80.7,0
80.8,1
80.9,0
81.0,0
81.1,0
81.2,0
81.3,0
81.4,0
81.5,0
81.6,0
81.7,0
81.8,0
81.9,0
82.0,0
82.1,0
82.2,0
82.3,0
82.4,0
82.5,0
82.6,0
82.7,1
82.8,0
82.9,0
83.0,0
83.1,0
83.2,0
83.3,0
83.4,1
83.5,0
83.6,0
83.7,0
83.8,0
83.9,0
84.0,0
84.1,0
84.2,0
84.3,0
84.4,0
84.5,0
84.6,0
84.7,0
84.8,0
84.9,0
85.0,0
85.1,1
85.2,0
85.3,0
85.4,0
85.5,0
85.6,0
85.7,0
85.8,0
85.9,0
86.0,0
86.1,1
86.2,0
86.3,0
86.4,0
86.5,0
86.6,0
86.7,0
86.8,0
86.9,0
87.0,0
87.1,0
87.2,0
87.3,0
87.4,1
87.5,1
87.6,0
87.7,1
87.8,0
87.9,0
88.0,0
88.1,0
88.2,0
88.3,0
88.4,0
88.5,0
88.6,0
88.7,0
88.8,0
88.9,0
89.0,0
89.1,0
89.2,0
89.3,0
89.4,0
89.5,1
89.6,0
89.7,0
89.8,0
89.9,0
90.0,0
90.1,0
90.2,0
90.3,0
90.4,0
90.5,0
90.6,0
90.7,0
90.8,0
90.9,1
91.0,1
91.1,0
91.2,0
91.3,0
91.4,0
91.5,0
91.6,0
91.7,0
91.8,1
91.9,0
92.0,0
92.1,0
92.2,0
92.3,0
92.4,0
92.5,0
92.6,0
92.7,0
92.8,0
92.9,0
93.0,0
93.1,0
93.2,0
93.3,0
93.4,0
93.5,0
93.6,0
93.7,0
93.8,0
93.9,0
94.0,0
94.1,0
94.2,0
94.3,0
94.4,0
94.5,0
94.6,0
94.7,1
94.8,0
94.9,0
95.0,0
95.1,1
95.2,0
95.3,0
95.4,0
95.5,0
95.6,0
95.7,0
95.8,0
95.9,0
96.0,1
96.1,1
96.2,0
96.3,0
96.4,0
96.5,0
96.6,0
96.7,0
96.8,0
96.9,0
97.0,0
97.1,0
97.2,0
97.3,0
97.4,0
97.5,1
97.6,1
97.7,0
97.8,0
97.9,0
98.0,0
98.1,0
98.2,0
98.3,0
98.4,0
98.5,0
98.6,0
98.7,0
98.8,0
98.9,0
99.0,0
99.1,0
99.2,0
99.3,0
99.4,0
99.5,0
99.6,0
99.7,0
99.8,0
99.9,0
100.0,23
