,0
0.0,1042
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,3
1.7,1
1.8,1
1.9,2
2.0,2
2.1,4
2.2,5
2.3,7
2.4,8
2.5,8
2.6,6
2.7,9
2.8,10
2.9,7
3.0,10
3.1,8
3.2,9
3.3,12
3.4,16
3.5,17
3.6,12
3.7,13
3.8,7
3.9,19
4.0,10
4.1,20
4.2,25
4.3,14
4.4,15
4.5,16
4.6,22
4.7,31
4.8,13
4.9,23
5.0,18
5.1,39
5.2,22
5.3,18
5.4,30
5.5,33
5.6,21
5.7,28
5.8,25
5.9,28
6.0,24
6.1,38
6.2,31
6.3,31
6.4,39
6.5,35
6.6,35
6.7,39
6.8,46
6.9,37
7.0,44
7.1,47
7.2,44
7.3,42
7.4,48
7.5,49
7.6,44
7.7,47
7.8,53
7.9,49
8.0,35
8.1,48
8.2,49
8.3,44
8.4,57
8.5,64
8.6,59
8.7,62
8.8,56
8.9,68
9.0,65
9.1,53
9.2,66
9.3,67
9.4,63
9.5,62
9.6,74
9.7,62
9.8,56
9.9,65
10.0,81
10.1,66
10.2,79
10.3,83
10.4,79
10.5,75
10.6,70
10.7,63
10.8,69
10.9,92
11.0,79
11.1,81
11.2,85
11.3,83
11.4,80
11.5,79
11.6,82
11.7,84
11.8,93
11.9,93
12.0,105
12.1,102
12.2,99
12.3,97
12.4,94
12.5,95
12.6,102
12.7,98
12.8,83
12.9,115
13.0,115
13.1,81
13.2,95
13.3,98
13.4,105
13.5,116
13.6,114
13.7,121
13.8,119
13.9,107
14.0,107
14.1,117
14.2,126
14.3,118
14.4,123
14.5,115
14.6,106
14.7,128
14.8,113
14.9,124
15.0,95
15.1,108
15.2,116
15.3,105
15.4,128
15.5,112
15.6,111
15.7,127
15.8,136
15.9,137
16.0,126
16.1,124
16.2,114
16.3,129
16.4,136
16.5,128
16.6,168
16.7,141
16.8,153
16.9,131
17.0,140
17.1,130
17.2,141
17.3,138
17.4,143
17.5,127
17.6,120
17.7,126
17.8,150
17.9,146
18.0,149
18.1,166
18.2,125
18.3,135
18.4,148
18.5,133
18.6,124
18.7,121
18.8,143
18.9,168
19.0,124
19.1,132
19.2,150
19.3,123
19.4,105
19.5,149
19.6,138
19.7,142
19.8,146
19.9,139
20.0,157
20.1,142
20.2,135
20.3,136
20.4,142
20.5,135
20.6,115
20.7,139
20.8,130
20.9,144
21.0,125
21.1,128
21.2,141
21.3,136
21.4,124
21.5,121
21.6,143
21.7,139
21.8,127
21.9,147
22.0,126
22.1,130
22.2,128
22.3,109
22.4,127
22.5,120
22.6,104
22.7,133
22.8,111
22.9,136
23.0,104
23.1,109
23.2,104
23.3,93
23.4,120
23.5,129
23.6,116
23.7,110
23.8,112
23.9,99
24.0,102
24.1,103
24.2,110
24.3,98
24.4,95
24.5,96
24.6,91
24.7,138
24.8,106
24.9,94
25.0,89
25.1,107
25.2,98
25.3,91
25.4,104
25.5,115
25.6,92
25.7,82
25.8,92
25.9,88
26.0,102
26.1,88
26.2,86
26.3,84
26.4,83
26.5,95
26.6,98
26.7,87
26.8,75
26.9,69
27.0,78
27.1,74
27.2,91
27.3,77
27.4,82
27.5,79
27.6,52
27.7,60
27.8,63
27.9,64
28.0,69
28.1,73
28.2,68
28.3,68
28.4,50
28.5,77
28.6,49
28.7,58
28.8,62
28.9,53
29.0,67
29.1,45
29.2,73
29.3,56
29.4,63
29.5,60
29.6,49
29.7,53
29.8,63
29.9,43
30.0,45
30.1,43
30.2,45
30.3,38
30.4,43
30.5,48
30.6,48
30.7,41
30.8,39
30.9,37
31.0,48
31.1,47
31.2,39
31.3,38
31.4,44
31.5,48
31.6,36
31.7,34
31.8,29
31.9,33
32.0,30
32.1,32
32.2,39
32.3,33
32.4,28
32.5,26
32.6,33
32.7,25
32.8,33
32.9,17
33.0,25
33.1,23
33.2,28
33.3,29
33.4,25
33.5,29
33.6,34
33.7,19
33.8,34
33.9,25
34.0,21
34.1,27
34.2,27
34.3,22
34.4,23
34.5,21
34.6,13
34.7,19
34.8,21
34.9,19
35.0,15
35.1,21
35.2,17
35.3,17
35.4,14
35.5,19
35.6,20
35.7,12
35.8,13
35.9,13
36.0,12
36.1,11
36.2,8
36.3,13
36.4,15
36.5,11
36.6,17
36.7,12
36.8,12
36.9,8
37.0,12
37.1,8
37.2,9
37.3,15
37.4,8
37.5,17
37.6,11
37.7,13
37.8,12
37.9,10
38.0,5
38.1,5
38.2,9
38.3,14
38.4,9
38.5,10
38.6,6
38.7,8
38.8,4
38.9,10
39.0,6
39.1,8
39.2,7
39.3,4
39.4,6
39.5,9
39.6,8
39.7,4
39.8,7
39.9,12
40.0,5
40.1,8
40.2,4
40.3,8
40.4,4
40.5,8
40.6,8
40.7,6
40.8,4
40.9,5
41.0,6
41.1,10
41.2,5
41.3,5
41.4,4
41.5,9
41.6,4
41.7,1
41.8,3
41.9,7
42.0,8
42.1,6
42.2,4
42.3,2
42.4,5
42.5,6
42.6,0
42.7,3
42.8,6
42.9,0
43.0,2
43.1,5
43.2,1
43.3,3
43.4,1
43.5,4
43.6,2
43.7,1
43.8,2
43.9,3
44.0,2
44.1,0
44.2,2
44.3,2
44.4,2
44.5,2
44.6,2
44.7,1
44.8,2
44.9,1
45.0,0
45.1,3
45.2,1
45.3,2
45.4,0
45.5,1
45.6,1
45.7,1
45.8,4
45.9,0
46.0,0
46.1,1
46.2,1
46.3,2
46.4,5
46.5,4
46.6,3
46.7,4
46.8,0
46.9,0
47.0,1
47.1,1
