,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,1
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,1
-8.4,1
-8.3,0
-8.2,0
-8.1,0
-8.0,0
-7.9,0
-7.8,1
-7.7,1
-7.6,0
-7.5,0
-7.4,1
-7.3,0
-7.2,1
-7.1,2
-7.0,0
-6.9,1
-6.8,1
-6.7,2
-6.6,3
-6.5,2
-6.4,0
-6.3,1
-6.2,1
-6.1,4
-6.0,2
-5.9,1
-5.8,2
-5.7,4
-5.6,5
-5.5,3
-5.4,2
-5.3,4
-5.2,7
-5.1,1
-5.0,4
-4.9,9
-4.8,9
-4.7,8
-4.6,9
-4.5,9
-4.4,8
-4.3,15
-4.2,12
-4.1,9
-4.0,13
-3.9,19
-3.8,13
-3.7,21
-3.6,24
-3.5,31
-3.4,16
-3.3,25
-3.2,31
-3.1,34
-3.0,32
-2.9,44
-2.8,45
-2.7,44
-2.6,50
-2.5,69
-2.4,42
-2.3,48
-2.2,68
-2.1,86
-2.0,60
-1.9,75
-1.8,113
-1.7,77
-1.6,72
-1.5,122
-1.4,171
-1.3,62
-1.2,138
-1.1,199
-1.0,128
-0.9,83
-0.8,190
-0.7,266
-0.6,79
-0.5,146
-0.4,293
-0.3,98
-0.2,135
-0.1,203
0.0,705
0.1,93
0.2,165
0.3,262
0.4,118
0.5,171
0.6,212
0.7,200
0.8,133
0.9,199
1.0,197
1.1,121
1.2,181
1.3,205
1.4,130
1.5,134
1.6,212
1.7,191
1.8,150
1.9,168
2.0,240
2.1,136
2.2,187
2.3,204
2.4,158
2.5,158
2.6,176
2.7,186
2.8,117
2.9,136
3.0,179
3.1,117
3.2,173
3.3,155
