,0
0.0,876
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,1
1.6,0
1.7,0
1.8,3
1.9,3
2.0,2
2.1,2
2.2,5
2.3,4
2.4,12
2.5,6
2.6,3
2.7,2
2.8,5
2.9,7
3.0,8
3.1,7
3.2,5
3.3,9
3.4,18
3.5,12
3.6,13
3.7,20
3.8,14
3.9,18
4.0,20
4.1,16
4.2,20
4.3,18
4.4,26
4.5,23
4.6,15
4.7,17
4.8,12
4.9,26
5.0,26
5.1,26
5.2,22
5.3,22
5.4,20
5.5,31
5.6,25
5.7,36
5.8,23
5.9,25
6.0,30
6.1,36
6.2,39
6.3,29
6.4,23
6.5,38
6.6,39
6.7,40
6.8,31
6.9,49
7.0,37
7.1,48
7.2,40
7.3,56
7.4,40
7.5,32
7.6,44
7.7,69
7.8,68
7.9,51
8.0,70
8.1,54
8.2,56
8.3,51
8.4,46
8.5,52
8.6,71
8.7,56
8.8,60
8.9,62
9.0,78
9.1,56
9.2,77
9.3,85
9.4,68
9.5,80
9.6,83
9.7,60
9.8,88
9.9,75
10.0,99
10.1,87
10.2,78
10.3,84
10.4,85
10.5,70
10.6,100
10.7,101
10.8,82
10.9,93
11.0,111
11.1,94
11.2,77
11.3,87
11.4,115
11.5,93
11.6,89
11.7,86
11.8,93
11.9,101
12.0,103
12.1,109
12.2,117
12.3,106
12.4,120
12.5,121
12.6,109
12.7,109
12.8,105
12.9,113
13.0,118
13.1,97
13.2,110
13.3,121
13.4,110
13.5,118
13.6,108
13.7,135
13.8,121
13.9,133
14.0,129
14.1,127
14.2,136
14.3,128
14.4,151
14.5,138
14.6,122
14.7,111
14.8,121
14.9,126
15.0,118
15.1,139
15.2,139
15.3,129
15.4,137
15.5,148
15.6,126
15.7,141
15.8,139
15.9,132
16.0,132
16.1,119
16.2,143
16.3,132
16.4,129
16.5,150
16.6,129
16.7,139
16.8,130
16.9,135
17.0,135
17.1,138
17.2,136
17.3,132
17.4,125
