,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,1
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,1
-8.4,0
-8.3,0
-8.2,1
-8.1,0
-8.0,0
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,1
-7.3,0
-7.2,0
-7.1,0
-7.0,0
-6.9,0
-6.8,0
-6.7,0
-6.6,0
-6.5,0
-6.4,0
-6.3,0
-6.2,0
-6.1,1
-6.0,2
-5.9,0
-5.8,3
-5.7,3
-5.6,1
-5.5,2
-5.4,2
-5.3,2
-5.2,3
-5.1,2
-5.0,0
-4.9,3
-4.8,6
-4.7,4
-4.6,5
-4.5,7
-4.4,8
-4.3,6
-4.2,4
-4.1,5
-4.0,8
-3.9,14
-3.8,8
-3.7,11
-3.6,14
-3.5,12
-3.4,8
-3.3,20
-3.2,12
-3.1,18
-3.0,19
-2.9,27
-2.8,24
-2.7,21
-2.6,29
-2.5,33
-2.4,22
-2.3,25
-2.2,52
-2.1,52
-2.0,31
-1.9,49
-1.8,81
-1.7,49
-1.6,50
-1.5,72
-1.4,114
-1.3,64
-1.2,86
-1.1,146
-1.0,84
-0.9,86
-0.8,135
-0.7,268
-0.6,51
-0.5,95
-0.4,248
-0.3,72
-0.2,99
-0.1,158
0.0,632
0.1,71
0.2,125
0.3,212
0.4,70
0.5,126
0.6,200
0.7,182
0.8,111
0.9,149
1.0,169
1.1,91
1.2,143
1.3,158
1.4,94
1.5,115
1.6,171
1.7,171
1.8,114
1.9,142
2.0,173
2.1,108
2.2,138
2.3,140
2.4,126
2.5,126
2.6,185
2.7,176
2.8,106
2.9,165
3.0,162
3.1,113
3.2,140
3.3,165
