,0
0.0,1001
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,1
1.3,0
1.4,1
1.5,0
1.6,2
1.7,2
1.8,3
1.9,2
2.0,4
2.1,7
2.2,2
2.3,7
2.4,3
2.5,6
2.6,5
2.7,4
2.8,5
2.9,9
3.0,8
3.1,14
3.2,11
3.3,6
3.4,12
3.5,12
3.6,11
3.7,14
3.8,15
3.9,19
4.0,14
4.1,12
4.2,21
4.3,14
4.4,14
4.5,18
4.6,21
4.7,13
4.8,19
4.9,24
5.0,24
5.1,19
5.2,17
5.3,20
5.4,26
5.5,31
5.6,26
5.7,25
5.8,32
5.9,27
6.0,36
6.1,35
6.2,40
6.3,31
6.4,39
6.5,35
6.6,36
6.7,31
6.8,41
6.9,41
7.0,42
7.1,42
7.2,43
7.3,55
7.4,41
7.5,43
7.6,32
7.7,46
7.8,54
7.9,42
8.0,43
8.1,56
8.2,53
8.3,47
8.4,57
8.5,41
8.6,61
8.7,49
8.8,56
8.9,60
9.0,70
9.1,63
9.2,71
9.3,69
9.4,65
9.5,72
9.6,62
9.7,72
9.8,62
9.9,80
10.0,73
10.1,66
10.2,85
10.3,86
10.4,82
10.5,74
10.6,86
10.7,100
10.8,95
10.9,91
11.0,75
11.1,89
11.2,88
11.3,102
11.4,94
11.5,86
11.6,94
11.7,84
11.8,81
11.9,94
12.0,97
12.1,93
12.2,96
12.3,100
12.4,98
12.5,107
12.6,102
12.7,88
12.8,101
12.9,101
13.0,99
13.1,109
13.2,95
13.3,120
13.4,99
13.5,105
13.6,100
13.7,112
13.8,101
13.9,113
14.0,99
14.1,130
14.2,131
14.3,116
14.4,108
14.5,115
14.6,124
14.7,123
14.8,98
14.9,122
15.0,109
15.1,116
15.2,91
15.3,120
15.4,112
15.5,123
15.6,109
15.7,123
15.8,127
15.9,124
16.0,115
16.1,112
16.2,104
16.3,121
16.4,111
16.5,128
16.6,109
16.7,108
16.8,119
16.9,121
17.0,110
17.1,125
17.2,114
17.3,122
17.4,100
17.5,119
17.6,110
17.7,135
17.8,118
17.9,108
18.0,112
18.1,110
18.2,110
18.3,112
18.4,116
18.5,108
18.6,105
18.7,120
18.8,104
18.9,111
19.0,103
19.1,127
19.2,125
19.3,93
19.4,115
19.5,122
19.6,114
19.7,113
19.8,124
19.9,122
20.0,116
20.1,120
20.2,107
20.3,108
20.4,109
20.5,116
20.6,107
20.7,108
20.8,115
20.9,99
21.0,109
21.1,98
21.2,114
21.3,113
21.4,103
21.5,94
21.6,111
21.7,97
21.8,94
21.9,102
22.0,119
22.1,116
22.2,99
22.3,99
22.4,90
22.5,107
22.6,91
22.7,96
22.8,96
22.9,112
23.0,91
23.1,92
23.2,87
23.3,106
23.4,90
23.5,87
23.6,93
23.7,102
23.8,71
23.9,81
24.0,83
24.1,82
24.2,93
24.3,80
24.4,94
24.5,98
24.6,84
24.7,91
24.8,84
24.9,78
25.0,81
25.1,76
25.2,70
25.3,83
25.4,75
25.5,70
25.6,79
25.7,85
25.8,76
25.9,72
26.0,76
26.1,69
26.2,64
26.3,82
26.4,49
26.5,84
26.6,81
26.7,71
26.8,73
26.9,59
27.0,59
27.1,61
27.2,77
27.3,65
27.4,57
27.5,53
27.6,58
27.7,52
27.8,62
27.9,58
28.0,60
28.1,59
28.2,54
28.3,58
28.4,53
28.5,42
28.6,57
28.7,47
28.8,44
28.9,35
29.0,44
29.1,54
29.2,45
29.3,53
29.4,55
29.5,52
29.6,63
29.7,61
29.8,46
29.9,45
30.0,34
30.1,28
30.2,46
30.3,44
30.4,43
30.5,46
30.6,38
30.7,44
30.8,37
30.9,52
31.0,35
31.1,32
31.2,53
31.3,31
31.4,39
31.5,40
31.6,39
31.7,41
31.8,38
31.9,37
32.0,47
32.1,23
32.2,30
32.3,43
32.4,35
32.5,43
32.6,27
32.7,33
32.8,26
32.9,24
33.0,37
33.1,37
33.2,21
33.3,23
33.4,26
33.5,27
33.6,18
33.7,17
33.8,26
33.9,25
34.0,27
34.1,28
34.2,13
34.3,26
34.4,29
34.5,25
34.6,21
34.7,17
34.8,21
34.9,20
35.0,14
35.1,20
35.2,17
35.3,14
35.4,22
35.5,26
35.6,24
35.7,12
35.8,19
35.9,16
