,0
0.0,715
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,2
1.3,0
1.4,0
1.5,1
1.6,1
1.7,3
1.8,3
1.9,0
2.0,6
2.1,3
2.2,5
2.3,2
2.4,3
2.5,5
2.6,3
2.7,6
2.8,8
2.9,7
3.0,8
3.1,6
3.2,7
3.3,13
3.4,5
3.5,13
3.6,14
3.7,19
3.8,19
3.9,16
4.0,16
4.1,16
4.2,18
4.3,19
4.4,18
4.5,13
4.6,17
4.7,17
4.8,17
4.9,25
5.0,20
5.1,15
5.2,13
5.3,17
5.4,30
5.5,26
5.6,27
5.7,27
5.8,19
5.9,26
6.0,30
6.1,32
6.2,28
6.3,35
6.4,31
6.5,49
6.6,37
6.7,37
6.8,36
6.9,46
7.0,36
7.1,39
7.2,40
7.3,46
7.4,29
7.5,38
7.6,45
7.7,51
7.8,56
7.9,48
8.0,53
8.1,46
8.2,50
8.3,42
8.4,59
8.5,49
8.6,71
8.7,55
8.8,44
8.9,39
9.0,59
9.1,63
9.2,69
9.3,46
9.4,56
9.5,72
9.6,72
9.7,59
9.8,67
9.9,63
10.0,67
10.1,64
10.2,69
10.3,84
10.4,76
10.5,83
10.6,79
10.7,84
10.8,83
10.9,79
11.0,80
11.1,74
11.2,88
11.3,92
11.4,72
11.5,82
11.6,83
11.7,87
11.8,79
11.9,86
12.0,91
12.1,82
12.2,89
12.3,81
12.4,85
12.5,90
12.6,91
12.7,108
12.8,81
12.9,119
13.0,99
13.1,118
13.2,105
13.3,104
13.4,109
13.5,107
13.6,109
13.7,104
13.8,116
13.9,109
14.0,123
14.1,108
14.2,98
14.3,109
14.4,109
14.5,121
14.6,122
14.7,114
14.8,119
14.9,105
15.0,108
15.1,122
15.2,122
15.3,94
15.4,115
15.5,95
15.6,118
15.7,113
15.8,122
15.9,128
16.0,114
16.1,107
16.2,115
16.3,133
16.4,121
16.5,124
16.6,123
16.7,118
16.8,119
16.9,144
17.0,114
17.1,129
17.2,109
17.3,113
17.4,125
17.5,107
17.6,119
17.7,108
17.8,112
17.9,135
18.0,131
18.1,117
18.2,104
18.3,120
18.4,109
18.5,111
18.6,93
18.7,104
18.8,121
18.9,118
19.0,115
19.1,85
19.2,121
19.3,107
19.4,124
19.5,103
19.6,113
19.7,110
19.8,93
19.9,91
20.0,125
20.1,97
20.2,114
20.3,100
20.4,126
20.5,107
20.6,96
20.7,112
20.8,138
20.9,100
21.0,109
21.1,122
21.2,98
21.3,107
21.4,101
21.5,116
21.6,103
21.7,88
21.8,94
21.9,104
22.0,100
22.1,105
22.2,95
22.3,102
22.4,99
22.5,111
22.6,95
22.7,87
22.8,88
22.9,84
23.0,90
23.1,90
23.2,95
23.3,105
23.4,115
23.5,104
23.6,107
23.7,85
23.8,87
23.9,85
24.0,75
24.1,68
24.2,88
24.3,68
24.4,79
24.5,89
24.6,56
24.7,88
24.8,76
24.9,79
25.0,94
25.1,77
25.2,92
25.3,102
25.4,80
25.5,78
25.6,87
25.7,81
25.8,77
25.9,49
26.0,67
26.1,61
26.2,79
