,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,1
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,1
-8.1,0
-8.0,0
-7.9,0
-7.8,0
-7.7,1
-7.6,0
-7.5,0
-7.4,0
-7.3,0
-7.2,0
-7.1,1
-7.0,0
-6.9,1
-6.8,1
-6.7,0
-6.6,1
-6.5,3
-6.4,0
-6.3,0
-6.2,2
-6.1,0
-6.0,3
-5.9,1
-5.8,2
-5.7,2
-5.6,2
-5.5,1
-5.4,2
-5.3,6
-5.2,4
-5.1,5
-5.0,3
-4.9,4
-4.8,2
-4.7,5
-4.6,3
-4.5,3
-4.4,6
-4.3,11
-4.2,8
-4.1,7
-4.0,16
-3.9,18
-3.8,14
-3.7,9
-3.6,18
-3.5,20
-3.4,16
-3.3,21
-3.2,28
-3.1,29
-3.0,19
-2.9,43
-2.8,32
-2.7,32
-2.6,40
-2.5,51
-2.4,39
-2.3,42
-2.2,83
-2.1,75
-2.0,46
-1.9,56
-1.8,99
-1.7,70
-1.6,72
-1.5,105
-1.4,145
-1.3,59
-1.2,98
-1.1,180
-1.0,83
-0.9,98
-0.8,173
-0.7,250
-0.6,67
-0.5,158
-0.4,270
-0.3,99
-0.2,133
-0.1,205
0.0,553
0.1,116
0.2,153
0.3,202
0.4,106
0.5,152
0.6,200
0.7,151
0.8,125
0.9,171
1.0,203
1.1,139
1.2,165
1.3,202
1.4,124
1.5,151
1.6,205
1.7,204
1.8,142
1.9,184
2.0,212
2.1,121
2.2,170
2.3,208
2.4,139
2.5,141
2.6,175
2.7,179
2.8,135
2.9,171
3.0,177
3.1,137
3.2,143
3.3,175
