,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,0
-8.4,1
-8.3,0
-8.2,0
-8.1,1
-8.0,0
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,0
-7.3,1
-7.2,0
-7.1,1
-7.0,0
-6.9,0
-6.8,0
-6.7,0
-6.6,0
-6.5,2
-6.4,0
-6.3,0
-6.2,1
-6.1,0
-6.0,1
-5.9,1
-5.8,3
-5.7,4
-5.6,0
-5.5,1
-5.4,4
-5.3,4
-5.2,3
-5.1,4
-5.0,3
-4.9,1
-4.8,4
-4.7,4
-4.6,4
-4.5,5
-4.4,5
-4.3,12
-4.2,5
-4.1,12
-4.0,8
-3.9,11
-3.8,9
-3.7,7
-3.6,14
-3.5,12
-3.4,12
-3.3,22
-3.2,20
-3.1,19
-3.0,15
-2.9,25
-2.8,31
-2.7,30
-2.6,31
-2.5,33
-2.4,30
-2.3,35
-2.2,40
-2.1,58
-2.0,30
-1.9,63
-1.8,67
-1.7,48
-1.6,41
-1.5,90
-1.4,111
-1.3,57
-1.2,94
-1.1,103
-1.0,74
-0.9,68
-0.8,114
-0.7,244
-0.6,56
-0.5,106
-0.4,212
-0.3,86
-0.2,85
-0.1,164
0.0,434
0.1,90
0.2,126
0.3,193
0.4,77
0.5,126
0.6,173
0.7,155
0.8,112
0.9,136
1.0,153
1.1,80
1.2,153
1.3,174
1.4,103
1.5,116
1.6,163
1.7,159
1.8,124
1.9,150
2.0,166
2.1,101
2.2,140
2.3,158
2.4,116
2.5,123
2.6,172
2.7,172
2.8,115
2.9,130
3.0,165
3.1,127
3.2,148
3.3,156
