,0
0.0,1055
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,1
1.5,2
1.6,0
1.7,0
1.8,1
1.9,3
2.0,4
2.1,3
2.2,6
2.3,6
2.4,7
2.5,11
2.6,6
2.7,5
2.8,13
2.9,7
3.0,16
3.1,9
3.2,10
3.3,14
3.4,11
3.5,17
3.6,13
3.7,9
3.8,21
3.9,8
4.0,16
4.1,11
4.2,19
4.3,20
4.4,16
4.5,16
4.6,16
4.7,23
4.8,16
4.9,16
5.0,19
5.1,28
5.2,25
5.3,20
5.4,26
5.5,26
5.6,27
5.7,25
5.8,35
5.9,23
6.0,39
6.1,20
6.2,31
6.3,33
6.4,38
6.5,39
6.6,34
6.7,29
6.8,46
6.9,50
7.0,42
7.1,41
7.2,33
7.3,43
7.4,35
7.5,46
7.6,55
7.7,35
7.8,53
7.9,40
8.0,44
8.1,47
8.2,48
8.3,61
8.4,64
8.5,50
8.6,69
8.7,63
8.8,64
8.9,58
9.0,61
9.1,78
9.2,62
9.3,62
9.4,72
9.5,60
9.6,70
9.7,70
9.8,66
9.9,92
10.0,60
10.1,68
10.2,64
10.3,86
10.4,82
10.5,85
10.6,81
10.7,85
10.8,89
10.9,79
11.0,89
11.1,84
11.2,77
11.3,97
11.4,87
11.5,115
11.6,94
11.7,95
11.8,93
11.9,95
12.0,93
12.1,97
12.2,96
12.3,88
12.4,102
12.5,105
12.6,97
12.7,102
12.8,118
12.9,114
13.0,104
13.1,97
13.2,108
13.3,115
13.4,105
13.5,84
13.6,133
13.7,118
13.8,110
13.9,119
14.0,118
14.1,112
14.2,109
14.3,99
14.4,150
14.5,124
14.6,130
14.7,109
14.8,118
14.9,133
15.0,120
15.1,119
15.2,130
15.3,143
15.4,137
15.5,114
15.6,105
15.7,122
15.8,124
15.9,147
16.0,132
16.1,137
16.2,127
16.3,145
16.4,111
16.5,160
16.6,133
16.7,148
16.8,134
16.9,132
17.0,116
17.1,138
17.2,132
17.3,116
17.4,125
17.5,142
17.6,157
17.7,134
17.8,126
17.9,130
18.0,145
18.1,124
18.2,134
18.3,151
18.4,120
18.5,138
18.6,149
18.7,148
18.8,141
18.9,128
19.0,143
19.1,154
19.2,152
19.3,121
19.4,125
19.5,114
19.6,110
19.7,132
19.8,144
19.9,122
20.0,117
20.1,119
20.2,132
20.3,132
20.4,105
20.5,116
20.6,125
20.7,128
20.8,137
20.9,130
21.0,125
21.1,133
21.2,136
21.3,139
21.4,125
21.5,108
21.6,120
21.7,138
21.8,123
21.9,129
22.0,125
22.1,125
22.2,107
22.3,130
22.4,127
22.5,119
22.6,107
22.7,109
22.8,109
22.9,115
23.0,110
23.1,127
23.2,123
23.3,124
23.4,121
23.5,111
23.6,102
23.7,114
23.8,114
23.9,90
24.0,101
24.1,102
24.2,109
24.3,109
24.4,117
24.5,109
24.6,117
24.7,92
24.8,90
24.9,110
25.0,92
25.1,100
25.2,85
25.3,93
25.4,107
25.5,89
25.6,94
25.7,104
25.8,95
25.9,96
26.0,95
26.1,81
26.2,91
26.3,93
26.4,83
26.5,78
26.6,85
26.7,82
26.8,91
26.9,78
27.0,83
27.1,72
27.2,75
27.3,76
27.4,63
27.5,73
27.6,63
27.7,73
27.8,67
27.9,64
28.0,56
28.1,80
28.2,54
28.3,74
28.4,60
28.5,50
28.6,66
28.7,62
28.8,58
28.9,67
29.0,48
29.1,58
29.2,48
29.3,67
29.4,61
29.5,41
29.6,66
29.7,55
29.8,39
29.9,46
30.0,36
30.1,52
30.2,52
30.3,43
30.4,55
30.5,45
30.6,44
30.7,47
30.8,40
30.9,44
31.0,37
31.1,51
31.2,51
31.3,43
31.4,43
31.5,42
31.6,39
31.7,31
31.8,30
31.9,25
32.0,48
32.1,35
32.2,48
32.3,34
32.4,25
32.5,40
32.6,28
32.7,28
32.8,23
32.9,23
33.0,34
33.1,39
33.2,12
33.3,35
33.4,33
33.5,20
33.6,20
33.7,21
33.8,20
33.9,20
34.0,24
34.1,19
34.2,19
34.3,15
34.4,21
34.5,20
34.6,19
34.7,18
34.8,23
34.9,20
35.0,22
35.1,19
35.2,20
35.3,14
35.4,16
35.5,19
35.6,21
35.7,18
35.8,8
35.9,13
36.0,12
36.1,20
36.2,19
36.3,18
36.4,22
36.5,18
36.6,7
36.7,9
36.8,13
36.9,7
37.0,8
37.1,16
37.2,13
37.3,11
37.4,8
37.5,15
37.6,14
37.7,11
37.8,6
37.9,7
38.0,10
38.1,7
38.2,12
38.3,6
38.4,12
38.5,8
38.6,4
38.7,11
38.8,10
38.9,4
39.0,12
39.1,8
39.2,6
39.3,8
39.4,9
39.5,6
39.6,6
39.7,7
39.8,4
39.9,5
40.0,9
40.1,2
40.2,7
40.3,3
40.4,1
40.5,3
40.6,8
40.7,1
40.8,3
40.9,5
41.0,6
41.1,2
41.2,5
41.3,2
41.4,1
41.5,7
41.6,6
41.7,11
41.8,2
41.9,4
42.0,6
42.1,5
42.2,6
42.3,5
42.4,3
42.5,2
42.6,6
42.7,0
42.8,2
42.9,6
43.0,2
43.1,4
43.2,2
43.3,2
43.4,2
43.5,2
43.6,4
43.7,4
43.8,6
43.9,1
44.0,4
44.1,2
44.2,0
44.3,2
44.4,1
44.5,3
44.6,2
44.7,2
44.8,0
44.9,0
45.0,3
45.1,1
45.2,1
45.3,4
45.4,0
45.5,2
45.6,0
45.7,3
45.8,3
45.9,2
46.0,3
46.1,1
46.2,2
46.3,1
46.4,2
46.5,1
46.6,0
46.7,0
46.8,1
46.9,1
47.0,3
47.1,1
47.2,1
47.3,1
47.4,0
47.5,3
47.6,0
47.7,0
47.8,0
47.9,0
48.0,0
48.1,1
48.2,2
48.3,3
48.4,1
48.5,0
48.6,1
48.7,0
48.8,3
48.9,1
49.0,4
49.1,0
49.2,2
49.3,3
49.4,1
49.5,2
49.6,1
49.7,1
49.8,0
49.9,1
50.0,1
50.1,0
50.2,0
50.3,1
50.4,1
50.5,1
50.6,1
50.7,0
50.8,2
50.9,1
51.0,0
51.1,0
51.2,2
51.3,1
51.4,0
51.5,2
51.6,1
51.7,0
51.8,2
51.9,0
52.0,0
52.1,0
52.2,0
52.3,2
52.4,1
52.5,1
52.6,3
52.7,0
52.8,0
52.9,0
53.0,0
53.1,0
53.2,4
53.3,1
53.4,1
53.5,0
53.6,0
53.7,0
53.8,0
53.9,0
54.0,0
54.1,1
54.2,3
54.3,0
54.4,0
54.5,1
54.6,0
54.7,0
54.8,0
54.9,1
55.0,2
55.1,1
55.2,0
55.3,0
55.4,1
55.5,0
55.6,0
55.7,1
55.8,4
55.9,1
56.0,0
56.1,0
56.2,0
56.3,1
56.4,2
56.5,0
56.6,0
56.7,1
56.8,1
56.9,0
57.0,2
57.1,0
57.2,1
57.3,1
57.4,1
57.5,1
57.6,2
57.7,0
57.8,1
57.9,1
58.0,0
58.1,0
58.2,1
58.3,1
58.4,0
58.5,1
58.6,0
58.7,0
58.8,0
58.9,1
59.0,0
59.1,1
59.2,1
59.3,0
59.4,0
59.5,0
59.6,0
59.7,0
59.8,0
59.9,0
60.0,1
60.1,0
60.2,1
60.3,0
60.4,0
60.5,0
60.6,0
60.7,0
60.8,0
60.9,2
61.0,0
61.1,0
61.2,0
61.3,1
61.4,0
61.5,0
61.6,0
61.7,0
61.8,0
61.9,0
62.0,0
62.1,0
62.2,0
62.3,0
62.4,0
62.5,0
62.6,0
62.7,0
62.8,0
62.9,2
63.0,0
63.1,0
63.2,0
63.3,1
63.4,0
63.5,0
63.6,0
63.7,0
63.8,0
63.9,0
64.0,0
64.1,0
64.2,0
64.3,0
64.4,0
64.5,1
64.6,0
64.7,0
64.8,0
64.9,0
65.0,0
65.1,2
65.2,0
65.3,1
65.4,0
65.5,0
65.6,1
65.7,0
65.8,0
65.9,0
66.0,0
66.1,0
66.2,2
66.3,0
66.4,0
66.5,0
66.6,0
66.7,0
66.8,0
66.9,0
67.0,0
67.1,1
67.2,0
67.3,0
67.4,0
67.5,0
67.6,0
67.7,0
67.8,0
67.9,0
68.0,0
68.1,0
68.2,0
68.3,1
68.4,0
68.5,1
68.6,1
68.7,0
68.8,0
68.9,0
69.0,0
69.1,0
69.2,1
69.3,0
69.4,0
69.5,0
69.6,0
69.7,1
69.8,0
69.9,0
70.0,0
70.1,0
70.2,0
70.3,0
70.4,0
70.5,0
70.6,1
70.7,0
70.8,0
70.9,0
71.0,0
71.1,0
71.2,1
71.3,0
71.4,0
71.5,0
71.6,0
71.7,0
71.8,1
71.9,1
72.0,0
72.1,1
72.2,0
72.3,1
72.4,0
72.5,0
72.6,0
72.7,0
72.8,0
72.9,1
73.0,0
73.1,0
73.2,0
73.3,0
73.4,0
73.5,0
73.6,0
73.7,0
73.8,0
73.9,0
74.0,0
74.1,0
74.2,0
74.3,0
74.4,0
74.5,0
74.6,0
74.7,2
74.8,1
74.9,0
75.0,0
75.1,0
75.2,0
75.3,0
75.4,0
75.5,0
75.6,0
75.7,0
75.8,0
75.9,0
76.0,0
76.1,0
76.2,1
76.3,0
76.4,0
76.5,1
76.6,0
76.7,0
76.8,0
76.9,1
77.0,0
77.1,0
77.2,1
77.3,0
77.4,0
77.5,0
77.6,0
77.7,0
77.8,0
77.9,0
78.0,0
78.1,0
78.2,0
78.3,0
78.4,1
