,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,1
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,0
-8.1,1
-8.0,0
-7.9,0
-7.8,0
-7.7,1
-7.6,0
-7.5,0
-7.4,0
-7.3,0
-7.2,2
-7.1,1
-7.0,1
-6.9,1
-6.8,1
-6.7,1
-6.6,0
-6.5,0
-6.4,1
-6.3,1
-6.2,3
-6.1,0
-6.0,2
-5.9,0
-5.8,5
-5.7,0
-5.6,5
-5.5,2
-5.4,4
-5.3,3
-5.2,3
-5.1,3
-5.0,4
-4.9,9
-4.8,9
-4.7,7
-4.6,8
-4.5,10
-4.4,10
-4.3,7
-4.2,6
-4.1,15
-4.0,12
-3.9,20
-3.8,16
-3.7,17
-3.6,13
-3.5,23
-3.4,17
-3.3,22
-3.2,29
-3.1,21
-3.0,31
-2.9,47
-2.8,34
-2.7,37
-2.6,45
-2.5,55
-2.4,37
-2.3,46
-2.2,76
-2.1,71
-2.0,46
-1.9,87
-1.8,102
-1.7,68
-1.6,58
-1.5,135
-1.4,160
-1.3,72
-1.2,102
-1.1,167
-1.0,115
-0.9,96
-0.8,165
-0.7,253
-0.6,103
-0.5,154
-0.4,305
-0.3,109
-0.2,141
-0.1,205
0.0,594
0.1,105
0.2,217
0.3,256
0.4,117
0.5,169
0.6,239
0.7,172
0.8,135
0.9,184
1.0,222
1.1,126
1.2,186
1.3,215
1.4,150
1.5,147
1.6,211
1.7,192
1.8,164
1.9,203
2.0,224
2.1,142
2.2,179
2.3,193
2.4,159
2.5,175
2.6,184
2.7,174
2.8,134
2.9,148
3.0,184
3.1,136
3.2,162
3.3,158
