,0
0.0,895
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,1
1.3,0
1.4,1
1.5,0
1.6,1
1.7,2
1.8,6
1.9,3
2.0,3
2.1,6
2.2,5
2.3,7
2.4,7
2.5,8
2.6,13
2.7,8
2.8,6
2.9,8
3.0,11
3.1,11
3.2,7
3.3,10
3.4,11
3.5,15
3.6,16
3.7,15
3.8,19
3.9,15
4.0,16
4.1,18
4.2,23
4.3,15
4.4,13
4.5,17
4.6,24
4.7,17
4.8,17
4.9,27
5.0,19
5.1,11
5.2,22
5.3,21
5.4,28
5.5,33
5.6,28
5.7,25
5.8,28
5.9,30
6.0,37
6.1,33
6.2,36
6.3,37
6.4,39
6.5,42
6.6,29
6.7,42
6.8,41
6.9,45
7.0,33
7.1,48
7.2,45
7.3,43
7.4,42
7.5,59
7.6,50
7.7,33
7.8,49
7.9,67
8.0,46
8.1,51
8.2,57
8.3,46
8.4,52
8.5,61
8.6,47
8.7,58
8.8,56
8.9,46
9.0,57
9.1,68
9.2,70
9.3,63
9.4,56
9.5,77
9.6,53
9.7,63
9.8,63
9.9,72
10.0,72
10.1,58
10.2,88
10.3,97
10.4,62
10.5,87
10.6,97
10.7,78
10.8,77
10.9,75
11.0,91
11.1,77
11.2,90
11.3,70
11.4,74
11.5,100
11.6,76
11.7,102
11.8,81
11.9,100
12.0,88
12.1,94
12.2,81
12.3,101
12.4,83
12.5,95
12.6,87
12.7,98
12.8,92
12.9,93
13.0,97
13.1,119
13.2,105
13.3,95
13.4,107
13.5,91
13.6,120
13.7,118
13.8,109
13.9,108
14.0,107
14.1,99
14.2,134
14.3,112
14.4,115
14.5,124
14.6,118
14.7,115
14.8,117
14.9,121
15.0,123
15.1,115
15.2,106
15.3,110
15.4,132
15.5,125
15.6,127
15.7,129
15.8,124
15.9,145
16.0,146
16.1,141
16.2,127
16.3,138
16.4,144
16.5,128
16.6,127
16.7,130
16.8,139
16.9,143
17.0,122
17.1,124
17.2,119
17.3,150
17.4,125
17.5,153
17.6,117
17.7,145
17.8,147
17.9,126
18.0,153
18.1,114
18.2,137
18.3,156
18.4,151
18.5,128
18.6,145
18.7,155
18.8,129
18.9,120
19.0,150
19.1,122
19.2,133
19.3,135
19.4,125
19.5,116
19.6,136
19.7,138
19.8,134
19.9,133
20.0,140
20.1,129
20.2,114
20.3,129
20.4,122
20.5,128
20.6,124
20.7,129
20.8,133
20.9,132
21.0,140
21.1,126
21.2,124
21.3,127
21.4,108
21.5,145
21.6,109
21.7,111
21.8,100
21.9,129
22.0,136
22.1,102
22.2,115
22.3,121
22.4,104
22.5,132
22.6,101
22.7,117
22.8,102
22.9,135
23.0,119
23.1,116
23.2,118
23.3,96
23.4,126
23.5,114
23.6,104
23.7,92
23.8,120
23.9,95
24.0,108
24.1,87
24.2,104
24.3,111
24.4,98
24.5,97
24.6,90
24.7,99
24.8,121
24.9,92
25.0,66
25.1,76
25.2,88
25.3,91
25.4,83
25.5,84
25.6,96
25.7,73
25.8,85
25.9,96
26.0,91
26.1,100
