,0
0.0,955
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,1
1.6,4
1.7,1
1.8,1
1.9,0
2.0,1
2.1,4
2.2,6
2.3,6
2.4,8
2.5,5
2.6,4
2.7,6
2.8,8
2.9,13
3.0,15
3.1,6
3.2,18
3.3,10
3.4,11
3.5,22
3.6,8
3.7,18
3.8,16
3.9,22
4.0,13
4.1,14
4.2,12
4.3,14
4.4,15
4.5,21
4.6,18
4.7,25
4.8,23
4.9,25
5.0,17
5.1,22
5.2,27
5.3,25
5.4,33
5.5,28
5.6,32
5.7,31
5.8,35
5.9,32
6.0,33
6.1,35
6.2,34
6.3,33
6.4,43
6.5,40
6.6,37
6.7,29
6.8,32
6.9,47
7.0,37
7.1,50
7.2,45
7.3,48
7.4,45
7.5,52
7.6,41
7.7,54
7.8,46
7.9,54
8.0,56
8.1,47
8.2,54
8.3,54
8.4,55
8.5,50
8.6,66
8.7,51
8.8,73
8.9,64
9.0,50
9.1,73
9.2,75
9.3,59
9.4,69
9.5,68
9.6,90
9.7,75
9.8,67
9.9,79
10.0,94
10.1,81
10.2,86
10.3,58
10.4,73
10.5,80
10.6,87
10.7,78
10.8,79
10.9,79
11.0,81
11.1,100
11.2,76
11.3,88
11.4,95
11.5,91
11.6,96
11.7,104
11.8,100
11.9,86
12.0,83
12.1,94
12.2,104
12.3,127
12.4,118
12.5,107
12.6,118
12.7,131
12.8,119
12.9,98
13.0,107
13.1,101
13.2,117
13.3,112
13.4,110
13.5,93
13.6,133
13.7,102
13.8,120
13.9,138
14.0,112
14.1,98
14.2,123
14.3,114
14.4,123
14.5,133
14.6,160
14.7,140
14.8,133
14.9,118
15.0,127
15.1,146
15.2,130
15.3,139
15.4,119
15.5,120
15.6,143
15.7,117
15.8,150
15.9,124
16.0,143
16.1,126
16.2,147
16.3,146
16.4,141
16.5,134
16.6,128
16.7,144
16.8,137
16.9,141
17.0,141
17.1,135
17.2,121
17.3,152
17.4,144
17.5,159
17.6,149
17.7,147
17.8,168
17.9,153
18.0,137
18.1,136
18.2,152
18.3,135
18.4,153
18.5,135
18.6,129
18.7,125
18.8,144
18.9,128
19.0,153
19.1,121
19.2,130
19.3,135
19.4,152
19.5,146
19.6,138
19.7,124
19.8,126
19.9,126
20.0,157
20.1,145
20.2,123
20.3,125
20.4,141
20.5,122
20.6,138
20.7,123
20.8,123
20.9,128
21.0,139
21.1,111
21.2,128
21.3,114
21.4,130
21.5,131
21.6,129
21.7,118
21.8,116
21.9,126
22.0,107
22.1,111
22.2,106
22.3,124
22.4,137
22.5,114
22.6,103
22.7,115
22.8,88
22.9,101
23.0,122
23.1,105
23.2,121
23.3,99
23.4,105
23.5,100
23.6,102
23.7,90
23.8,105
23.9,97
24.0,97
24.1,109
24.2,94
24.3,100
24.4,95
24.5,105
24.6,82
24.7,94
24.8,96
24.9,92
25.0,76
25.1,91
25.2,90
25.3,90
25.4,97
25.5,89
25.6,70
25.7,92
25.8,90
25.9,86
26.0,74
26.1,71
26.2,92
26.3,81
26.4,85
26.5,80
26.6,95
26.7,79
26.8,74
26.9,67
27.0,76
27.1,74
27.2,78
27.3,71
27.4,74
27.5,71
27.6,69
27.7,73
27.8,66
27.9,79
28.0,91
28.1,57
28.2,51
28.3,64
28.4,46
28.5,46
28.6,60
28.7,61
28.8,47
28.9,61
29.0,62
29.1,60
29.2,75
29.3,61
29.4,62
29.5,67
29.6,48
29.7,57
29.8,72
29.9,66
30.0,44
30.1,46
30.2,51
30.3,43
30.4,50
30.5,33
30.6,38
30.7,39
30.8,51
30.9,52
31.0,40
31.1,52
31.2,41
31.3,39
31.4,35
31.5,46
31.6,37
31.7,32
31.8,51
31.9,39
32.0,30
32.1,40
32.2,30
32.3,38
32.4,33
32.5,41
32.6,32
32.7,30
32.8,24
32.9,40
33.0,25
33.1,26
33.2,30
33.3,45
33.4,30
33.5,20
33.6,23
33.7,22
33.8,29
33.9,26
34.0,20
34.1,22
34.2,28
34.3,23
34.4,14
34.5,16
34.6,28
34.7,22
34.8,28
34.9,21
35.0,13
35.1,18
35.2,20
35.3,18
35.4,14
35.5,13
35.6,24
35.7,16
35.8,14
35.9,10
36.0,23
36.1,10
