,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,1
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,0
-8.1,0
-8.0,1
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,0
-7.3,0
-7.2,0
-7.1,0
-7.0,0
-6.9,0
-6.8,1
-6.7,0
-6.6,0
-6.5,0
-6.4,0
-6.3,1
-6.2,2
-6.1,2
-6.0,1
-5.9,5
-5.8,0
-5.7,0
-5.6,3
-5.5,7
-5.4,4
-5.3,8
-5.2,4
-5.1,5
-5.0,8
-4.9,6
-4.8,5
-4.7,8
-4.6,4
-4.5,11
-4.4,8
-4.3,9
-4.2,9
-4.1,14
-4.0,12
-3.9,15
-3.8,15
-3.7,17
-3.6,27
-3.5,19
-3.4,16
-3.3,32
-3.2,31
-3.1,15
-3.0,21
-2.9,35
-2.8,33
-2.7,24
-2.6,42
-2.5,73
-2.4,40
-2.3,44
-2.2,71
-2.1,72
-2.0,42
-1.9,78
-1.8,93
-1.7,80
-1.6,70
-1.5,110
-1.4,131
-1.3,64
-1.2,84
-1.1,176
-1.0,110
-0.9,78
-0.8,166
-0.7,283
-0.6,82
-0.5,136
-0.4,269
-0.3,97
-0.2,128
-0.1,202
0.0,575
0.1,113
0.2,168
0.3,276
0.4,112
0.5,151
0.6,181
0.7,187
0.8,131
0.9,204
1.0,192
1.1,119
1.2,202
1.3,190
1.4,137
1.5,163
1.6,184
1.7,208
1.8,124
1.9,193
2.0,217
2.1,131
2.2,190
2.3,186
2.4,157
2.5,199
2.6,183
2.7,202
2.8,154
2.9,194
3.0,163
3.1,153
3.2,157
3.3,183
