,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,0
-8.1,0
-8.0,0
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,1
-7.3,0
-7.2,0
-7.1,1
-7.0,1
-6.9,0
-6.8,1
-6.7,2
-6.6,0
-6.5,2
-6.4,1
-6.3,0
-6.2,0
-6.1,0
-6.0,2
-5.9,1
-5.8,2
-5.7,3
-5.6,2
-5.5,1
-5.4,5
-5.3,2
-5.2,4
-5.1,5
-5.0,2
-4.9,3
-4.8,5
-4.7,5
-4.6,9
-4.5,9
-4.4,5
-4.3,8
-4.2,8
-4.1,11
-4.0,16
-3.9,20
-3.8,9
-3.7,14
-3.6,14
-3.5,18
-3.4,18
-3.3,23
-3.2,15
-3.1,24
-3.0,22
-2.9,34
-2.8,26
-2.7,27
-2.6,41
-2.5,48
-2.4,33
-2.3,41
-2.2,68
-2.1,65
-2.0,39
-1.9,49
-1.8,104
-1.7,73
-1.6,63
-1.5,99
-1.4,119
-1.3,57
-1.2,103
-1.1,135
-1.0,106
-0.9,97
-0.8,156
-0.7,247
-0.6,83
-0.5,143
-0.4,240
-0.3,97
-0.2,127
-0.1,193
0.0,556
0.1,93
0.2,150
0.3,267
0.4,93
0.5,128
0.6,193
0.7,181
0.8,132
0.9,192
1.0,213
1.1,131
1.2,188
1.3,221
1.4,135
1.5,152
1.6,184
1.7,167
1.8,130
1.9,183
2.0,238
2.1,145
2.2,152
2.3,223
2.4,152
2.5,164
2.6,180
2.7,178
2.8,161
2.9,180
3.0,212
3.1,141
3.2,176
3.3,184
