,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,1
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,1
-8.2,0
-8.1,0
-8.0,0
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,1
-7.3,0
-7.2,0
-7.1,1
-7.0,1
-6.9,1
-6.8,0
-6.7,1
-6.6,0
-6.5,1
-6.4,2
-6.3,0
-6.2,1
-6.1,2
-6.0,2
-5.9,0
-5.8,1
-5.7,3
-5.6,1
-5.5,5
-5.4,4
-5.3,5
-5.2,5
-5.1,2
-5.0,7
-4.9,5
-4.8,3
-4.7,7
-4.6,7
-4.5,7
-4.4,8
-4.3,3
-4.2,10
-4.1,11
-4.0,9
-3.9,17
-3.8,15
-3.7,11
-3.6,13
-3.5,13
-3.4,11
-3.3,23
-3.2,24
-3.1,25
-3.0,21
-2.9,45
-2.8,23
-2.7,25
-2.6,44
-2.5,41
-2.4,39
-2.3,28
-2.2,58
-2.1,64
-2.0,37
-1.9,62
-1.8,97
-1.7,62
-1.6,56
-1.5,91
-1.4,109
-1.3,66
-1.2,83
-1.1,127
-1.0,99
-0.9,82
-0.8,143
-0.7,218
-0.6,78
-0.5,113
-0.4,227
-0.3,81
-0.2,128
-0.1,182
0.0,513
0.1,118
0.2,139
0.3,219
0.4,106
0.5,140
0.6,178
0.7,154
0.8,121
0.9,178
1.0,179
1.1,109
1.2,178
1.3,174
1.4,114
1.5,127
1.6,186
1.7,178
1.8,156
1.9,185
2.0,172
2.1,140
2.2,143
2.3,157
2.4,155
2.5,130
2.6,165
2.7,136
2.8,128
2.9,152
3.0,162
3.1,132
3.2,139
3.3,160
