,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,1
-8.8,0
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,1
-8.2,0
-8.1,0
-8.0,0
-7.9,0
-7.8,0
-7.7,1
-7.6,1
-7.5,1
-7.4,0
-7.3,1
-7.2,1
-7.1,0
-7.0,0
-6.9,0
-6.8,1
-6.7,3
-6.6,0
-6.5,1
-6.4,1
-6.3,1
-6.2,1
-6.1,3
-6.0,1
-5.9,0
-5.8,0
-5.7,2
-5.6,2
-5.5,2
-5.4,3
-5.3,2
-5.2,2
-5.1,0
-5.0,4
-4.9,3
-4.8,3
-4.7,5
-4.6,7
-4.5,2
-4.4,5
-4.3,8
-4.2,10
-4.1,4
-4.0,12
-3.9,8
-3.8,11
-3.7,14
-3.6,17
-3.5,24
-3.4,18
-3.3,24
-3.2,24
-3.1,18
-3.0,19
-2.9,28
-2.8,33
-2.7,20
-2.6,34
-2.5,38
-2.4,40
-2.3,29
-2.2,31
-2.1,59
-2.0,31
-1.9,61
-1.8,76
-1.7,75
-1.6,47
-1.5,85
-1.4,126
-1.3,55
-1.2,76
-1.1,177
-1.0,113
-0.9,68
-0.8,138
-0.7,293
-0.6,69
-0.5,130
-0.4,270
-0.3,78
-0.2,99
-0.1,154
0.0,634
0.1,81
0.2,140
0.3,288
0.4,68
0.5,135
0.6,211
0.7,190
0.8,116
0.9,175
1.0,223
1.1,89
1.2,145
1.3,199
1.4,116
1.5,142
1.6,167
1.7,178
1.8,152
1.9,157
2.0,206
2.1,120
2.2,140
2.3,185
2.4,150
2.5,143
2.6,196
2.7,196
2.8,133
2.9,172
3.0,195
3.1,123
3.2,161
3.3,165
