,0
0.0,1145
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,1
1.5,2
1.6,1
1.7,2
1.8,4
1.9,0
2.0,3
2.1,2
2.2,7
2.3,2
2.4,5
2.5,5
2.6,4
2.7,6
2.8,6
2.9,11
3.0,10
3.1,8
3.2,21
3.3,12
3.4,17
3.5,21
3.6,13
3.7,12
3.8,21
3.9,27
4.0,9
4.1,15
4.2,15
4.3,20
4.4,27
4.5,17
4.6,24
4.7,20
4.8,24
4.9,26
5.0,26
5.1,13
5.2,29
5.3,31
5.4,27
5.5,39
5.6,36
5.7,23
5.8,31
5.9,36
6.0,36
6.1,30
6.2,24
6.3,45
6.4,42
6.5,37
6.6,33
6.7,33
6.8,44
6.9,49
7.0,32
7.1,54
7.2,49
7.3,41
7.4,42
7.5,46
7.6,45
7.7,48
7.8,50
7.9,48
8.0,43
8.1,60
8.2,48
8.3,48
8.4,51
8.5,51
8.6,59
8.7,62
8.8,52
8.9,63
9.0,57
9.1,70
9.2,59
9.3,56
9.4,63
9.5,65
9.6,63
9.7,78
9.8,66
9.9,73
10.0,94
10.1,70
10.2,71
10.3,88
10.4,80
10.5,57
10.6,84
10.7,82
10.8,82
10.9,72
11.0,82
11.1,96
11.2,79
11.3,113
11.4,94
11.5,85
11.6,106
11.7,99
11.8,93
11.9,91
12.0,75
12.1,88
12.2,73
12.3,96
12.4,89
12.5,93
12.6,111
12.7,96
12.8,105
12.9,108
13.0,93
13.1,102
13.2,109
13.3,131
13.4,105
13.5,100
13.6,130
13.7,97
13.8,119
13.9,106
14.0,111
14.1,124
14.2,106
14.3,111
14.4,123
14.5,103
14.6,102
14.7,107
14.8,117
14.9,132
15.0,129
15.1,103
15.2,101
15.3,135
15.4,119
15.5,130
15.6,123
15.7,131
15.8,135
15.9,111
16.0,117
16.1,135
16.2,120
16.3,133
16.4,117
16.5,104
16.6,138
16.7,141
16.8,142
16.9,133
17.0,124
17.1,133
17.2,126
17.3,129
17.4,121
17.5,132
17.6,117
17.7,134
17.8,134
17.9,144
18.0,109
18.1,155
18.2,115
18.3,121
18.4,114
18.5,116
18.6,111
18.7,153
18.8,126
18.9,131
19.0,129
19.1,109
19.2,140
19.3,125
19.4,124
19.5,126
19.6,153
19.7,125
19.8,130
19.9,119
20.0,139
20.1,124
20.2,135
20.3,125
20.4,126
20.5,118
20.6,121
20.7,125
20.8,106
20.9,127
21.0,119
21.1,131
21.2,130
21.3,127
21.4,121
21.5,139
21.6,132
21.7,127
21.8,108
21.9,115
22.0,112
22.1,123
22.2,125
22.3,119
22.4,116
22.5,116
22.6,111
22.7,98
22.8,118
22.9,98
23.0,107
23.1,105
23.2,94
23.3,101
23.4,104
23.5,109
23.6,88
23.7,103
23.8,119
23.9,94
24.0,115
24.1,95
24.2,120
24.3,109
24.4,99
24.5,95
24.6,94
24.7,89
24.8,112
24.9,95
25.0,77
25.1,88
25.2,83
25.3,88
25.4,86
25.5,76
25.6,79
25.7,92
25.8,80
25.9,76
26.0,86
26.1,72
26.2,89
26.3,89
26.4,84
26.5,87
26.6,87
26.7,75
26.8,76
26.9,66
27.0,53
27.1,77
27.2,68
27.3,56
27.4,65
27.5,62
27.6,81
27.7,67
27.8,55
27.9,56
28.0,54
28.1,47
28.2,64
28.3,53
28.4,45
28.5,41
28.6,59
28.7,60
28.8,56
28.9,57
29.0,52
29.1,50
29.2,50
29.3,55
29.4,50
29.5,51
29.6,42
29.7,48
29.8,45
29.9,53
30.0,48
30.1,54
30.2,39
30.3,50
30.4,33
30.5,40
30.6,33
30.7,49
30.8,42
30.9,32
31.0,42
31.1,49
31.2,39
31.3,30
31.4,44
31.5,38
31.6,41
31.7,33
31.8,33
31.9,32
32.0,34
32.1,32
32.2,33
32.3,21
32.4,30
32.5,26
32.6,30
32.7,35
32.8,24
32.9,19
33.0,28
33.1,28
33.2,26
33.3,28
33.4,22
33.5,16
33.6,28
33.7,29
33.8,20
33.9,31
34.0,15
34.1,17
34.2,15
34.3,26
34.4,27
34.5,26
34.6,16
34.7,11
34.8,24
34.9,20
35.0,17
35.1,20
35.2,14
35.3,14
35.4,12
35.5,21
35.6,15
35.7,23
35.8,12
35.9,19
36.0,13
36.1,9
36.2,16
36.3,18
36.4,19
36.5,14
36.6,16
36.7,15
36.8,15
36.9,12
37.0,9
37.1,10
37.2,13
37.3,13
37.4,13
37.5,4
37.6,13
37.7,8
37.8,9
37.9,14
38.0,7
38.1,16
38.2,11
38.3,1
38.4,8
38.5,8
38.6,11
38.7,6
38.8,7
38.9,5
39.0,6
39.1,2
39.2,9
39.3,8
39.4,3
39.5,5
39.6,3
39.7,3
39.8,7
39.9,8
40.0,5
40.1,10
40.2,5
40.3,3
40.4,2
40.5,9
40.6,5
40.7,3
40.8,8
40.9,10
41.0,9
41.1,10
41.2,4
41.3,4
41.4,5
41.5,3
41.6,8
41.7,2
41.8,2
41.9,2
42.0,4
42.1,3
42.2,5
42.3,4
42.4,1
42.5,3
42.6,3
42.7,7
42.8,3
42.9,3
43.0,4
43.1,2
43.2,5
43.3,3
43.4,5
43.5,3
43.6,2
43.7,1
43.8,6
43.9,1
44.0,3
44.1,6
44.2,6
44.3,3
44.4,3
44.5,4
44.6,4
44.7,3
44.8,3
44.9,3
45.0,3
45.1,5
45.2,2
45.3,4
45.4,1
45.5,1
45.6,2
45.7,3
45.8,2
45.9,2
46.0,2
46.1,1
46.2,6
46.3,6
46.4,2
46.5,3
46.6,1
46.7,4
46.8,5
46.9,1
47.0,1
47.1,0
47.2,4
47.3,3
47.4,3
47.5,2
47.6,1
47.7,1
47.8,1
47.9,1
48.0,1
48.1,0
48.2,0
48.3,2
48.4,4
48.5,1
48.6,0
48.7,2
48.8,0
48.9,1
49.0,0
49.1,2
49.2,3
49.3,1
49.4,0
49.5,0
49.6,2
49.7,2
49.8,0
49.9,4
50.0,2
50.1,3
50.2,1
50.3,1
50.4,2
50.5,0
50.6,1
50.7,0
50.8,2
50.9,2
51.0,1
51.1,3
51.2,3
51.3,1
51.4,1
51.5,1
51.6,0
51.7,0
51.8,1
51.9,0
52.0,0
52.1,1
52.2,0
52.3,0
52.4,0
52.5,1
52.6,0
52.7,2
52.8,0
52.9,0
53.0,1
53.1,0
53.2,1
53.3,0
53.4,1
53.5,3
53.6,3
53.7,2
53.8,0
53.9,2
54.0,1
54.1,0
54.2,0
54.3,0
54.4,0
54.5,2
54.6,0
54.7,0
54.8,1
54.9,1
55.0,1
55.1,2
55.2,3
55.3,1
55.4,2
55.5,1
55.6,1
55.7,0
55.8,0
55.9,0
56.0,2
56.1,1
56.2,0
56.3,0
56.4,1
56.5,0
56.6,1
56.7,0
56.8,2
56.9,0
57.0,0
57.1,0
57.2,1
57.3,1
57.4,0
57.5,2
57.6,0
57.7,0
57.8,1
57.9,0
58.0,2
58.1,1
58.2,0
58.3,0
58.4,0
58.5,0
58.6,1
58.7,0
58.8,0
58.9,1
59.0,0
59.1,2
59.2,1
59.3,0
59.4,0
59.5,0
59.6,1
59.7,0
59.8,1
59.9,0
60.0,0
60.1,3
60.2,0
60.3,0
60.4,1
60.5,1
60.6,0
60.7,0
60.8,0
60.9,0
61.0,1
61.1,0
61.2,0
61.3,1
61.4,1
61.5,0
61.6,3
61.7,0
61.8,0
61.9,1
62.0,0
62.1,0
62.2,0
62.3,1
62.4,0
62.5,0
62.6,1
62.7,0
62.8,0
62.9,0
63.0,1
63.1,0
63.2,0
63.3,0
63.4,0
63.5,1
63.6,0
63.7,0
63.8,0
63.9,0
64.0,0
64.1,0
64.2,0
64.3,0
64.4,1
64.5,0
64.6,0
64.7,0
64.8,0
64.9,1
65.0,0
65.1,0
65.2,0
65.3,0
65.4,1
65.5,0
65.6,0
65.7,0
65.8,0
65.9,0
66.0,0
66.1,1
66.2,0
66.3,0
66.4,0
66.5,0
66.6,0
66.7,0
66.8,0
66.9,0
67.0,0
67.1,0
67.2,1
67.3,0
67.4,0
67.5,0
67.6,1
67.7,0
67.8,1
67.9,0
68.0,0
68.1,2
68.2,1
68.3,1
68.4,0
68.5,0
68.6,0
68.7,0
68.8,0
68.9,0
69.0,0
69.1,1
69.2,0
69.3,0
69.4,0
69.5,0
69.6,1
69.7,1
69.8,1
69.9,0
70.0,0
70.1,1
70.2,0
70.3,0
70.4,0
70.5,0
70.6,0
70.7,0
70.8,0
70.9,0
71.0,0
71.1,0
71.2,1
71.3,0
71.4,0
71.5,0
71.6,0
71.7,0
71.8,0
71.9,0
72.0,0
72.1,0
72.2,1
72.3,0
72.4,0
72.5,0
72.6,0
72.7,0
72.8,2
72.9,0
73.0,0
73.1,0
73.2,0
73.3,0
73.4,1
73.5,0
73.6,2
73.7,0
73.8,0
73.9,0
74.0,0
74.1,0
74.2,0
74.3,0
74.4,0
74.5,0
74.6,1
74.7,0
74.8,0
74.9,0
75.0,0
75.1,0
75.2,0
75.3,0
75.4,0
75.5,1
75.6,0
75.7,0
75.8,0
75.9,0
76.0,0
76.1,1
76.2,0
76.3,0
76.4,0
76.5,0
76.6,1
76.7,0
76.8,0
76.9,0
77.0,0
77.1,0
77.2,0
77.3,0
77.4,0
77.5,0
77.6,0
77.7,0
77.8,0
77.9,0
78.0,0
78.1,0
78.2,1
78.3,0
78.4,0
78.5,0
78.6,0
78.7,1
78.8,0
78.9,0
79.0,0
79.1,0
79.2,0
79.3,1
79.4,0
79.5,0
79.6,0
79.7,1
79.8,0
79.9,0
80.0,0
80.1,0
80.2,0
80.3,0
80.4,0
80.5,0
80.6,0
80.7,0
80.8,0
80.9,0
81.0,0
81.1,0
81.2,0
81.3,0
81.4,0
81.5,0
81.6,0
81.7,0
81.8,0
81.9,0
82.0,0
82.1,0
82.2,0
82.3,0
82.4,1
82.5,0
82.6,1
82.7,0
82.8,0
82.9,0
83.0,0
83.1,0
83.2,0
83.3,0
83.4,0
83.5,0
83.6,0
83.7,0
83.8,0
83.9,0
84.0,0
84.1,2
84.2,0
84.3,1
84.4,0
84.5,0
84.6,1
84.7,0
84.8,0
84.9,1
85.0,0
85.1,0
85.2,0
85.3,0
85.4,0
85.5,0
85.6,0
85.7,0
85.8,0
85.9,0
86.0,0
86.1,0
86.2,0
86.3,0
86.4,0
86.5,0
86.6,0
86.7,0
86.8,0
86.9,0
87.0,0
87.1,0
87.2,0
87.3,0
87.4,0
87.5,0
87.6,0
87.7,1
87.8,0
87.9,1
88.0,0
88.1,0
88.2,0
88.3,0
88.4,0
88.5,0
88.6,1
88.7,0
88.8,0
88.9,0
89.0,1
89.1,0
89.2,0
89.3,0
89.4,0
89.5,0
89.6,0
89.7,0
89.8,0
89.9,0
90.0,0
90.1,0
90.2,0
90.3,0
90.4,0
90.5,0
90.6,0
90.7,0
90.8,0
90.9,0
91.0,0
91.1,0
91.2,0
91.3,0
91.4,0
91.5,0
91.6,0
91.7,1
91.8,0
91.9,0
92.0,0
92.1,0
92.2,0
92.3,0
92.4,0
92.5,0
92.6,0
92.7,0
92.8,0
92.9,0
93.0,0
93.1,0
93.2,0
93.3,0
93.4,0
93.5,0
93.6,0
93.7,0
93.8,0
93.9,0
94.0,0
94.1,0
94.2,0
94.3,0
94.4,0
94.5,0
94.6,0
94.7,0
94.8,0
94.9,0
95.0,0
95.1,0
95.2,0
95.3,0
95.4,1
95.5,0
95.6,0
95.7,0
95.8,0
95.9,0
96.0,0
96.1,0
96.2,0
