,0
0.0,1009
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,1
1.4,0
1.5,2
1.6,1
1.7,1
1.8,2
1.9,5
2.0,4
2.1,9
2.2,8
2.3,5
2.4,4
2.5,10
2.6,8
2.7,13
2.8,6
2.9,15
3.0,8
3.1,16
3.2,9
3.3,15
3.4,21
3.5,6
3.6,17
3.7,8
3.8,18
3.9,16
4.0,11
4.1,16
4.2,19
4.3,17
4.4,19
4.5,12
4.6,26
4.7,29
4.8,21
4.9,27
5.0,16
5.1,35
5.2,35
5.3,36
5.4,23
5.5,34
5.6,28
5.7,33
5.8,38
5.9,36
6.0,27
6.1,35
6.2,34
6.3,37
6.4,40
6.5,41
6.6,52
6.7,43
6.8,44
6.9,34
7.0,45
7.1,44
7.2,48
7.3,51
7.4,54
7.5,47
7.6,55
7.7,63
7.8,56
7.9,59
8.0,61
8.1,57
8.2,76
8.3,63
8.4,64
8.5,60
8.6,66
8.7,61
8.8,72
8.9,74
9.0,77
9.1,69
9.2,74
9.3,71
9.4,73
9.5,73
9.6,77
9.7,74
9.8,79
9.9,98
10.0,79
10.1,71
10.2,113
10.3,89
10.4,92
10.5,103
10.6,96
10.7,103
10.8,93
10.9,86
11.0,113
11.1,104
11.2,107
11.3,101
11.4,106
11.5,122
11.6,94
11.7,95
11.8,109
11.9,111
12.0,104
12.1,101
12.2,105
12.3,116
12.4,114
12.5,114
12.6,113
12.7,102
12.8,112
12.9,127
13.0,120
13.1,125
13.2,118
13.3,132
13.4,99
13.5,104
13.6,100
13.7,125
13.8,120
13.9,122
14.0,124
14.1,118
14.2,119
14.3,128
14.4,120
14.5,123
14.6,126
14.7,118
14.8,114
14.9,137
15.0,144
15.1,128
15.2,125
15.3,115
15.4,141
15.5,135
15.6,136
15.7,124
15.8,124
15.9,140
16.0,123
16.1,138
16.2,120
16.3,136
16.4,137
16.5,121
16.6,135
16.7,104
16.8,140
16.9,127
17.0,134
17.1,136
17.2,142
17.3,142
17.4,151
17.5,126
17.6,144
17.7,115
17.8,136
17.9,142
18.0,139
18.1,133
18.2,114
18.3,141
18.4,138
18.5,115
18.6,121
18.7,118
18.8,127
18.9,132
19.0,125
19.1,118
19.2,114
19.3,144
19.4,128
19.5,116
19.6,125
19.7,129
19.8,135
19.9,109
20.0,118
20.1,110
20.2,87
20.3,113
20.4,117
20.5,118
20.6,125
20.7,140
20.8,129
20.9,128
21.0,106
21.1,106
21.2,125
21.3,128
21.4,114
21.5,108
21.6,91
21.7,111
21.8,116
21.9,111
22.0,102
22.1,114
22.2,97
22.3,98
22.4,98
22.5,110
22.6,93
22.7,101
22.8,99
22.9,88
23.0,119
23.1,131
23.2,116
23.3,105
23.4,87
23.5,95
23.6,90
23.7,109
