,0
0.0,934
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,1
1.6,1
1.7,2
1.8,1
1.9,2
2.0,4
2.1,6
2.2,2
2.3,7
2.4,8
2.5,9
2.6,9
2.7,6
2.8,7
2.9,7
3.0,10
3.1,9
3.2,7
3.3,10
3.4,14
3.5,14
3.6,16
3.7,15
3.8,18
3.9,14
4.0,18
4.1,19
4.2,14
4.3,16
4.4,24
4.5,11
4.6,18
4.7,25
4.8,25
4.9,25
5.0,20
5.1,32
5.2,16
5.3,22
5.4,30
5.5,26
5.6,23
5.7,31
5.8,37
5.9,26
6.0,45
6.1,27
6.2,40
6.3,29
6.4,24
6.5,38
6.6,33
6.7,40
6.8,41
6.9,48
7.0,35
7.1,35
7.2,42
7.3,34
7.4,41
7.5,41
7.6,46
7.7,46
7.8,49
7.9,57
8.0,41
8.1,53
8.2,52
8.3,43
8.4,40
8.5,56
8.6,64
8.7,68
8.8,57
8.9,59
9.0,54
9.1,48
9.2,45
9.3,58
9.4,62
9.5,60
9.6,70
9.7,53
9.8,68
9.9,73
10.0,75
10.1,66
10.2,86
10.3,81
10.4,63
10.5,79
10.6,83
10.7,91
10.8,79
10.9,84
11.0,68
11.1,70
11.2,72
11.3,86
11.4,82
11.5,72
11.6,101
11.7,73
11.8,104
11.9,91
12.0,77
12.1,99
12.2,109
12.3,96
12.4,89
12.5,104
12.6,102
12.7,95
12.8,110
12.9,94
13.0,95
13.1,105
13.2,103
13.3,97
13.4,90
13.5,108
13.6,122
13.7,121
13.8,91
13.9,102
14.0,115
14.1,110
14.2,119
14.3,116
14.4,125
14.5,118
14.6,108
14.7,105
14.8,117
14.9,117
15.0,104
15.1,128
15.2,134
15.3,144
15.4,112
15.5,130
15.6,114
15.7,116
15.8,118
15.9,137
16.0,122
16.1,127
16.2,131
16.3,126
16.4,124
16.5,114
16.6,126
16.7,112
16.8,140
16.9,115
17.0,130
17.1,125
17.2,129
17.3,123
17.4,145
17.5,137
17.6,131
17.7,160
17.8,127
17.9,131
18.0,131
18.1,142
18.2,138
18.3,130
18.4,130
18.5,132
18.6,139
