,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,1
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,0
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,0
-8.1,0
-8.0,1
-7.9,0
-7.8,0
-7.7,0
-7.6,0
-7.5,0
-7.4,0
-7.3,0
-7.2,0
-7.1,1
-7.0,0
-6.9,2
-6.8,0
-6.7,1
-6.6,1
-6.5,1
-6.4,0
-6.3,0
-6.2,2
-6.1,4
-6.0,0
-5.9,2
-5.8,0
-5.7,0
-5.6,2
-5.5,0
-5.4,1
-5.3,2
-5.2,0
-5.1,5
-5.0,2
-4.9,0
-4.8,3
-4.7,3
-4.6,7
-4.5,3
-4.4,3
-4.3,5
-4.2,3
-4.1,4
-4.0,5
-3.9,10
-3.8,11
-3.7,13
-3.6,11
-3.5,16
-3.4,6
-3.3,23
-3.2,18
-3.1,30
-3.0,13
-2.9,28
-2.8,26
-2.7,14
-2.6,27
-2.5,40
-2.4,29
-2.3,22
-2.2,46
-2.1,57
-2.0,28
-1.9,72
-1.8,78
-1.7,53
-1.6,47
-1.5,92
-1.4,118
-1.3,49
-1.2,84
-1.1,152
-1.0,95
-0.9,62
-0.8,154
-0.7,305
-0.6,66
-0.5,110
-0.4,279
-0.3,67
-0.2,85
-0.1,195
0.0,789
0.1,72
0.2,136
0.3,290
0.4,79
0.5,118
0.6,188
0.7,202
0.8,114
0.9,160
1.0,206
1.1,95
1.2,143
1.3,196
1.4,112
1.5,126
1.6,168
1.7,225
1.8,111
1.9,173
2.0,204
2.1,112
2.2,149
2.3,197
2.4,168
2.5,139
2.6,181
2.7,204
2.8,129
2.9,158
3.0,170
3.1,97
3.2,163
3.3,171
