,0
0.0,817
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,1
1.6,1
1.7,2
1.8,2
1.9,2
2.0,3
2.1,5
2.2,6
2.3,7
2.4,7
2.5,5
2.6,7
2.7,14
2.8,11
2.9,7
3.0,10
3.1,8
3.2,13
3.3,8
3.4,12
3.5,18
3.6,14
3.7,18
3.8,15
3.9,18
4.0,5
4.1,22
4.2,16
4.3,16
4.4,17
4.5,17
4.6,18
4.7,17
4.8,23
4.9,18
5.0,16
5.1,21
5.2,23
5.3,25
5.4,22
5.5,27
5.6,27
5.7,28
5.8,16
5.9,25
6.0,28
6.1,29
6.2,27
6.3,25
6.4,38
6.5,37
6.6,30
6.7,37
6.8,39
6.9,33
7.0,33
7.1,43
7.2,44
7.3,48
7.4,34
7.5,43
7.6,42
7.7,40
7.8,34
7.9,45
8.0,41
8.1,48
8.2,40
8.3,42
8.4,42
8.5,47
8.6,50
8.7,44
8.8,43
8.9,51
9.0,40
9.1,49
9.2,68
9.3,33
9.4,49
9.5,57
9.6,43
9.7,49
9.8,67
9.9,66
10.0,50
10.1,56
10.2,62
10.3,65
10.4,53
10.5,82
10.6,66
10.7,58
10.8,67
10.9,81
11.0,74
11.1,75
11.2,70
11.3,93
11.4,73
11.5,61
11.6,79
11.7,70
11.8,84
11.9,75
12.0,73
12.1,63
12.2,87
12.3,88
12.4,76
12.5,88
12.6,87
12.7,94
12.8,86
12.9,77
13.0,90
13.1,78
13.2,87
13.3,95
13.4,80
13.5,88
13.6,85
13.7,119
13.8,94
13.9,106
14.0,88
14.1,102
14.2,80
14.3,91
14.4,98
14.5,94
14.6,103
14.7,85
14.8,105
14.9,91
15.0,105
15.1,94
15.2,110
15.3,102
15.4,92
15.5,108
15.6,102
15.7,99
15.8,109
15.9,94
16.0,97
16.1,97
16.2,112
16.3,104
16.4,118
16.5,114
16.6,114
16.7,111
16.8,107
16.9,101
17.0,100
17.1,94
17.2,112
17.3,108
17.4,86
17.5,113
17.6,104
17.7,113
17.8,116
17.9,118
18.0,100
18.1,103
18.2,112
18.3,133
18.4,120
18.5,123
18.6,100
18.7,103
